Class Year,Last Name,First Name,Address,City,State,Zip,Preferred Email,Alternate Email,Cell Phone Number,Home Number,Current Employer,Employer Address,Last Updated
2016,Charles,Potts,100 Stars Hollow Rd.,Ivoryton,CT,06426,email@google.com,email@google.com,800-222-3333,,*freelance film,,4/21
2016,James,Mark,101 Genius Dr.,Easton,CT,06612,email@google.com,email@google.com,800-222-3333,800-222-3333,,,4/21
2016,August,Jonathan,15 Limb Ave.,,,,email@google.com,email@google.com,800-222-3333,,,,
2016,Wing,Ethan,172 Hickory Hollow Place,Antioch,TN,37013,email@google.com,email@google.com,800-222-3333,,Ethan Wing Studios,,4/21
2016,Brian,Steven,18 Needle Ct.,Oviedo,FL,32765,email@google.com,email@google.com,800-222-3333,800-222-3333,The Music Box,"1331 Winter Springs Blvd, Winter Springs, FL 32708",4/21
2016,Madison,Billy,201 Sands Ct.,Goldsboro,NC,27534,email@google.com,email@google.com,800-222-3333,800-222-3333,Duke University,"Durham, NC 27708",4/21
2016,Avenue,Nicole,203 Birch Ave.,Albemarle,NC,28001,email@google.com,email@google.com,800-222-3333,,Pandoras,,4/21
2016,Teek,Benjamin,49 Portnoy St.,Katy,TX,77494,email@google.com,email@google.com,800-222-3333,800-222-3333,Clair Global,,4/21
2016,Addison,Davis,5 Burlington place,Nashville,TN,37215,email@google.com,email@google.com,800-222-3333,800-222-3333,Warner Bros.,,4/21
2016,Dempsy,Jack,2 Major Dr.,Millington,NJ,07946,email@google.com,jack.garno@gmail.com,800-222-3333,800-222-3333,,,4/21
2016,Peter,Potts,,,,,,,,,,,
2016,Art,Mark,,,,,,,,,,,
2016,Elefeno,Jonathan,,,,,,,,,,,
2016,Dennis,Ethan,,,,,,,,,,,
2016,Hemps,Steven,,,,,,,,,,,
2016,Jacobs,Billy,,,,,,,,,,,
2016,Kirk,Nicole,,,,,,,,,,,
2016,Leania,Benjamin,,,,,,,,,,,
2016,Madison,Davis,,,,,,,,,,,
2016,Nather,Jack,,,,,,,,,,,
2015,Tins,John,108 Overdrive Ln.,Williamsburg,VA,23188,email@google.com,email@google.com,800-222-3333,800-222-3333,Newseum,"555 Pennsylvania Ave NW, Washington, DC 20001",4/21
2015,Davis,Spencer,164 John Wales Ave.,Antioch,TN,37013,email@google.com,email@google.com,800-222-3333,800-222-3333,Sound Stage Studios,"10 Music Cir S, Nashville, TN 37203",4/21
2015,Smith,James,353 Lost Rd.,Harrisburg,PA,17110,email@google.com,email@google.com,800-222-3333,800-222-3333,Anderson Audio,"471 JPL Wick Dr, Harrisburg, PA 17111",4/21
2015,Thompson,Clay,98 Davis Ave.,New York,NY,10128,email@google.com,email@google.com,800-222-3333,,HB Communications,,4/21
2015,Curry,Steph,343 Richmond Ln.,Richmond,VA,23220,email@google.com,email@google.com,800-222-3333,,The Brewery Studios,,4/21
2015,Aloha,Mark,64 Jamestown Ct.,Ridgeway,VA,24148,email@google.com,email@google.com,800-222-3333,800-222-3333,Models Inc.,,4/21
2014,Offel,Major,35 Motorville Rd.,Chapel Hill,NC,27514,email@google.com,email@google.com,800-222-3333,800-222-3333,Self Employed,,4/21
2014,Staff,Tina,5 Grey Cir.,Menlo Park,CA,94025,email@google.com,email@google.com,800-222-3333,800-222-3333,Rahi Systems,"5690 Stewart Ave, Fremont, CA 94538",4/29
2013,Angel,Peter,,,,27214,,,800-222-3333,,*composer,,4/1
2012,Clay,Stevenson,,,,23464,,,,,,,
